Day,Ad name,Amount spent (USD),Results,Impressions,Link clicks,3-second video plays,Purchases conversion value,Video average play time,Video plays at 75%,Video plays,Preview link,Reporting starts,Reporting ends,Account Name,Creative Type,Hook,Creative Name
2025-08-13,Ad - AEF FB Image 58 - V18,507.22,23.0,41565,320.0,,923.29,,,,https://www.facebook.com/?feed_demo_ad=120229193169600595&h=AQBL6YUKjX6WPA2omzk,2025-08-13,2025-08-13,AEF,Image,18,Image 58
2025-08-18,Ad - AEF FB Video 69 V4,501.51,10.0,28303,147.0,5108.0,445.09,2.0,154.0,25708.0,https://www.facebook.com/?feed_demo_ad=120218111813760595&h=AQC8kQcauVMnXTa5Xtc,2025-08-18,2025-08-18,AEF,Video,4,Video 69
2025-08-12,Ad - AEF FB Video 88 V1,492.82,21.0,26084,210.0,4104.0,669.64,2.0,838.0,25690.0,https://www.facebook.com/?feed_demo_ad=120233552445470595&h=AQDDHLztgKx_-GztFCc,2025-08-12,2025-08-12,AEF,Video,1,Video 88
2025-08-14,Ad - AEF FB Image 70 - V15,482.33,21.0,24132,297.0,,599.81,,,,https://www.facebook.com/?feed_demo_ad=120232562389290595&h=AQAFBegLik5TmtgVtY4,2025-08-14,2025-08-14,AEF,Image,15,Image 70
2025-08-15,Ad - AEF FB Image 77 - V21,456.95,22.0,26432,174.0,,656.66,,,,https://www.facebook.com/?feed_demo_ad=120233942123660595&h=AQBSl_rBKfNGaDDWCj8,2025-08-15,2025-08-15,AEF,Image,21,Image 77
2025-08-14,Ad - AEF FB Video 61 V3,436.4,32.0,10593,217.0,2278.0,567.9,4.0,254.0,8154.0,https://www.facebook.com/?feed_demo_ad=120216796514170595&h=AQCHGj2wblgr24SSHJU,2025-08-14,2025-08-14,AEF,Video,3,Video 61
2025-08-13,Ad - AEF FB Video 61 V3,433.48,24.0,11259,201.0,2569.0,959.04,4.0,278.0,9218.0,https://www.facebook.com/?feed_demo_ad=120216796514170595&h=AQCHGj2wblgr24SSHJU,2025-08-13,2025-08-13,AEF,Video,3,Video 61
2025-08-13,Ad - AEF FB Video 63 V1,417.58,26.0,8086,143.0,1844.0,552.29,4.0,127.0,6857.0,https://www.facebook.com/?feed_demo_ad=120217134171270595&h=AQBPihAkmTx1VfHiTTQ,2025-08-13,2025-08-13,AEF,Video,1,Video 63
2025-08-12,Ad - AEF FB Video 86 V00,413.21,21.0,16458,164.0,3336.0,608.09,3.0,645.0,16108.0,https://www.facebook.com/?feed_demo_ad=120232135856350595&h=AQBUnEKcT3ZYZNhryw0,2025-08-12,2025-08-12,AEF,Video,00,Video 86
2025-08-14,Ad - AEF FB Video 67 V1,381.41,7.0,11978,138.0,1558.0,122.35,3.0,85.0,7212.0,https://www.facebook.com/?feed_demo_ad=120217727209830595&h=AQCxlzRPcOlV0KViVKc,2025-08-14,2025-08-14,AEF,Video,1,Video 67
2025-08-15,Ad - AEF FB Video 67 V1,380.03,6.0,13870,88.0,1810.0,355.41,3.0,203.0,12351.0,https://www.facebook.com/?feed_demo_ad=120217727209830595&h=AQCxlzRPcOlV0KViVKc,2025-08-15,2025-08-15,AEF,Video,1,Video 67
2025-08-13,Ad - AEF FB Image 78 - V23,379.85,20.0,17767,209.0,,338.4,,,,https://www.facebook.com/?feed_demo_ad=120233942123650595&h=AQDjm98ZvUGi3DgzMiU,2025-08-13,2025-08-13,AEF,Image,23,Image 78
2025-08-14,Ad - AEF FB Video 86 V00,370.47,10.0,16559,113.0,3262.0,315.76,3.0,591.0,16327.0,https://www.facebook.com/?feed_demo_ad=120232135856350595&h=AQBUnEKcT3ZYZNhryw0,2025-08-14,2025-08-14,AEF,Video,00,Video 86
2025-08-14,Ad - AEF FB Image 58 - V18,363.98,14.0,29069,203.0,,315.69,,,,https://www.facebook.com/?feed_demo_ad=120229193169600595&h=AQBL6YUKjX6WPA2omzk,2025-08-14,2025-08-14,AEF,Image,18,Image 58
2025-08-13,Ad - AEF FB Video 73 V2,357.88,16.0,19551,182.0,5204.0,691.61,4.0,812.0,19360.0,https://www.facebook.com/?feed_demo_ad=120219003120760595&h=AQBATRMiIzGPqrTlMD0,2025-08-13,2025-08-13,AEF,Video,2,Video 73
2025-08-15,Ad - AEF FB Image 70 - V15,357.44,11.0,17249,212.0,,185.66,,,,https://www.facebook.com/?feed_demo_ad=120232562389290595&h=AQAFBegLik5TmtgVtY4,2025-08-15,2025-08-15,AEF,Image,15,Image 70
2025-08-12,Ad - AEF FB Image 34 V14,342.77,14.0,9304,131.0,,189.72,,,,https://www.facebook.com/?feed_demo_ad=120220381548690595&h=AQA-NX-ErAREkI6rraI,2025-08-12,2025-08-12,AEF,Image,14,Image 34
2025-08-12,Ad - AEF FB Video 73 V2,340.3,18.0,17732,157.0,4503.0,565.02,4.0,701.0,17529.0,https://www.facebook.com/?feed_demo_ad=120219003120760595&h=AQBATRMiIzGPqrTlMD0,2025-08-12,2025-08-12,AEF,Video,2,Video 73
2025-08-15,Ad - AEF FB Image 58 - V18,338.24,8.0,26501,179.0,,190.53,,,,https://www.facebook.com/?feed_demo_ad=120229193169600595&h=AQBL6YUKjX6WPA2omzk,2025-08-15,2025-08-15,AEF,Image,18,Image 58
2025-08-12,Ad - AEF FB Video 86 V2,333.35,12.0,12812,131.0,2738.0,324.86,3.0,520.0,12355.0,https://www.facebook.com/?feed_demo_ad=120232135856360595&h=AQAZKCtMrrIvRlqSBUc,2025-08-12,2025-08-12,AEF,Video,2,Video 86
2025-08-14,Ad - AEF FB RM Image 3 - V21 - WE,330.35,11.0,14295,188.0,,185.4,,,,https://www.facebook.com/?feed_demo_ad=120224469891540595&h=AQAFY4h_Kd34-IN5lQY,2025-08-14,2025-08-14,AEF,Image,21,Image 3
2025-08-14,Ad - AEF FB Video 63 V1 - WE,328.11,12.0,5654,103.0,1220.0,422.78,3.0,68.0,4681.0,https://www.facebook.com/?feed_demo_ad=120217134246890595&h=AQA55CfIOxz6UWYzk1c,2025-08-14,2025-08-14,AEF,Video,1,Video 63
2025-08-14,Ad - AEF FB Video 81 V001,319.11,7.0,11304,114.0,2586.0,178.73,3.0,282.0,8724.0,https://www.facebook.com/?feed_demo_ad=120226021274390595&h=AQCgzgjQMmyF6C-ipLw,2025-08-14,2025-08-14,AEF,Video,001,Video 81
